Adjusted_BoxOffice,BoxOffice,NLP_Score,Director,Runtime,Title,Writer,Year,imdbRating,imdbVotes,Internet_Movie_Database,Rotten_Tomatoes,Metacritic,First_actor,Second_actor,Third_actor,Forth_actor,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count
49.32302717907053,35.081594,7.136446420572589,Tom Brady,104,The Hot Chick,Tom Brady,2002,5.5,82831,5.5,2.2,2.9,Rob Schneider, Anna Faris, Matthew Lawrence, Eric Christian Olsen,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
38.62013170031626,35.057332,3.9005870824584834,Scott Speer,99,Step Up Revolution,Amanda Brody,2012,6.5,50359,6.5,4.3,4.3,Cleopatra Coleman, Ryan Guzman, Misha Gabriel Hamilton, Michael 'Xeno' Langebeck,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,USA,1
38.6787606488,34.4,5.034375876906212,Todd Strauss-Schulson,90,A Very Harold & Kumar 3D Christmas,Jon Hurwitz,2011,6.3,60825,6.3,6.8,6.1,Patton Oswalt, Isabella Gielniak, Kal Penn, Austin Bickel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
40.59286707,35.0,7.08811664202873,Paul Greengrass,115,Green Zone,Brian Helgeland,2010,6.8,120104,6.8,5.4,6.3,Igal Naor, Said Faraj, Faycal Attougui, Aymen Hamdouchi,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"UK, France, Spain, USA",4
51.469492367850115,35.04612,10.294764886869203,Rob Cohen,106,The Skulls,John Pogue,2000,5.6,29066,5.6,0.9,2.4,Joshua Jackson, Paul Walker, Hill Harper, Leslie Bibb,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, Canada",2
42.68951534278846,35.000629,2.327811988597216,Mark Helfrich,96,Good Luck Chuck,Josh Stolberg,2007,5.6,79749,5.6,0.5,1.9,Connor Price, Troy Gentile, Mackenzie Mowat, Sasha Pieterse,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"USA, Canada",2
39.35914478502908,35.005118,16.94269140624219,Jonathan Levine,100,50/50,Will Reiser,2011,7.7,295406,7.7,9.3,7.2,Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
135.66563468500001,35.0,8.903282897590165,Alan Parker,121,Midnight Express,Oliver Stone,1978,7.6,63099,7.6,9.6,5.9,Brad Davis, Irene Miracle, Bo Hopkins, Paolo Bonacelli,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"UK, USA",2
74.8305709466798,34.994648,16.60187953540624,Walter Hill,104,Red Heat,Walter Hill,1988,6.1,57178,6.1,6.2,6.1,Arnold Schwarzenegger, Jim Belushi, Peter Boyle, Ed O'Ross,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1
97.287180267785,34.967437,9.479005876440503,John Boorman,140,Excalibur,Thomas Malory,1981,7.4,52228,7.4,7.9,5.6,Nigel Terry, Helen Mirren, Nicholas Clay, Cherie Lunghi,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
