,BoxOffice,Runtime,Title,Year,imdbVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,score_of_D,score_of_W,score_of_A
62,192646657.4696125,128,The World Is Not Enough,1999,174926,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"UK, USA",2,0.806963374303317,0.14519182291143518,1.9698669840894076
63,115928972.08407882,89,Lucy,2014,388684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"France, Taiwan, Germany",3,0.47672241190189774,0.47925831274656766,2.688419246030853
64,167918128.84044564,125,Ocean's Twelve,2004,324864,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,0.9456131279755102,0.0669415517987164,2.9423557377601
65,206956615.60744783,116,Speed,1994,297542,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,0.1783333421436541,0.05629612045103377,3.1064216997781386
66,161724699.08715224,99,50 First Dates,2004,298837,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,0.28121774314839265,0.019788563997086298,3.261708671507576
67,142085581.31834662,153,Inglourious Basterds,2009,1070175,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Germany, USA",2,0.320348166486357,0.22113950586201248,1.9432270158856388
68,204721595.04836527,101,The Mask,1994,307386,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.23463089269867526,0.022038471679981,1.4937205031200844
69,521415289.6252983,120,Rocky,1976,460052,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,USA,1,0.4210264158094358,0.21050130514245877,2.3057961698089233
70,152879059.31491467,108,The Village,2004,221907,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,USA,1,0.43898050813670747,0.2202225006099627,3.546378487936881
71,3403541.072419407,165,The Patriot,2000,233922,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"USA, Germany",2,0.3971189559468792,0.072347998328836,2.2874342362746787
